Dr/Cr,group of chart acct,,,Ledger,Ledger Name,Currency,balance only 
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1880,SUSPENDED INTEREST -AGRICULTURE,1 ETB,-58740.94
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1881,SUSPENDED INTEREST -INDUSTRY,1 ETB,-919567.91
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1882,SUSPENDED INTEREST -DTS,1 ETB,-3438603.29
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1883,SUSPENDED INTEREST -EXPORT,1 ETB,-1515173.29
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1884,SUSPENDED INTEREST -IMPORT,1 ETB,-987193.25
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1885,SUSPENDED INTEREST -CONSTRUCTION,1 ETB,-198090.08
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1886,SUSPENDED INTEREST -TRANS. AND COMM,1 ETB,-258347.26
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1887,SUSPENDED INTEREST -HOTEL AND TOURISM,1 ETB,-2001382.8
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1889,SUSPENDED INTEREST -CUSTOMER,1 ETB,-21781.79
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1890,SUSPENDED INTEREST -MORTGAGE_STAFF,1 ETB,-79626.06
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1971,PPE-COMPUTER & ACCESORRIES,1 ETB,-169620261.1
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1972,PPE-OFFICE & OTHER EQUIPMENT,1 ETB,-112385034.1
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1973,PPE-FURNITURE & FITTINGS,1 ETB,-108987138.1
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1974,PPE-MOTOR VEHICLE,1 ETB,-188568642.5
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1975,PPE-BUILDING,1 ETB,-435254962.4
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1976,PPE-LAND,1 ETB,-35127757.27
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1991,PPE-STOCK-COMPUTER & ACCESORRIES,1 ETB,-30625999.51
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1992,PPE-STOCK-OFFICE & OTHER EQUIPMENT,1 ETB,-3571729.1
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1993,PPE-STOCK-FURNITURE & FITTINGS,1 ETB,-3608311.96
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,1999,SUSPENSE LOANS WRONG,1 ETB,-2629587.54
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2001,CONST. IN PROGRESS HO BUILDING DESIGN,1 ETB,-3139776.11
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2021,INTANGABLE ASSET- SWIFT SOFTWARE,1 ETB,-1100517.62
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2022,INTANGABLE ASSET- CORE BANKING SOFTWARE ,1 ETB,-41704312.44
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2041,PREPAYMENT-ANTIVIRUS SOFTWARE,1 ETB,-2117590.66
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2042,PREPAYMENT-MICROSOFT WINDOW SERVER,1 ETB,-8173521.46
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2043,PREPAYMENT-SOFTWARE LICENSE- ORCALE,1 ETB,-34399458.54
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2091,ASSETS HELD FOR SALE-BUILDING,1 ETB,-28863261.29
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2111,DISPOSAL-COMPUTER & ACCESORRIES,1 ETB,-293697.11
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2112,DISPOSAL-OFFICE & OTHER EQUIPMENT,1 ETB,-1469193.91
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2113,DISPOSAL-FURNITURE & FITTINGS,1 ETB,-316084.74
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2141,SUPPLIES STOCKS-CHEQUE BOOK,1 ETB,-3495254.51
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2142,SUPPLIES STOCKS-STATIONARY & PRINTINGS,1 ETB,-13733567.42
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2143,SUPPLIES STOCKS-REVENUE STAMPS,1 ETB,-31413
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2144,SUPPLIES STOCKS-OTHER SUPPLIES,1 ETB,-3122032.16
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2161,PREPAID-OFFICE RENT,1 ETB,-273481492.2
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2162,PREPAID-PROPERTY INSURANCE,1 ETB,-339990.5
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2163,PREPAID-MOTOR VEHICLE INSURANCE,1 ETB,-2099478.89
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2164,PREPAID-MONEY INSURANCE,1 ETB,-4096826.71
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2165,PREPAID-GROUP PERSONAL ACCIDENT INSURAN,1 ETB,-6653742.51
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2166,PREPAID-BUILDING INSURANCE,1 ETB,-235822.1
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2167,PREPAID-PURCHASES,1 ETB,-72854848.32
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2168,PREPAID-DEPOSITS FOR WATER AND ELECTRIC.,1 ETB,-212.68
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2169,PREPAID-ADVANCE PAYMENTS,1 ETB,-5663339.89
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2170,PREPAID-SECURITY DEPOSIT FOR HILTON AA,1 ETB,-156793
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2171,PREPAID-BRANCH UNDER OPENING,1 ETB,-8770674.26
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2212,UEF-MT'S TT'S DEMAND DRAFTS RECEIVED,1 ETB,-595191.12
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2214,UEF-OUTWARD DOCUMENTARY BILLS PURCHASED,1 ETB,-69888623.95
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2240,CENTRAL BR. ACCOUNT WITH BR. (ABB),1 ETB,-1332709.26
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2242,BRANCH ADJUSTMENT(BRADJ),1 ETB,1332709.26
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2261,ADJUSTMENTS & REFUND,1 ETB,-31377.65
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2262,WITH HOLDING TAX,1 ETB,-250288.48
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2263,INSURANCE CLAIM,1 ETB,-92169.95
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2264,INTER BANK SETTLMENT  FOR ATM,1 ETB,1321493.8
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2265,ATM/POS FEE SETTLEMT,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2267,GUAR. ISSUED FOR FOREIGN  TRAVEL AGENTS,1 ETB,-619653082.9
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2268,PREPAID STAFF ASSETS,1 ETB,-92697410.23
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2269,ADVANCED AGAINST MURABAHA FINANCING,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2272,ACCOUNT RECEIVABLE-OTHER(BULK UPLOAD),1 ETB,-13741631.47
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2273,ACCOUNT RECEIVABLE-MISCEL.LOCAL CURRENCY,1 ETB,-82033591.6
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2275,UE-CASH IN TRANSIT-LOCAL CURRENCY,1 ETB,-19500000
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2277,ERCA ACCOUNT,1 ETB,-31155433.33
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2278,CORRESPONDENT ACCOUNT-IFBW,1 ETB,1809331293
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2279,CORRESPONDENT ACCOUNT-CONVENTIONAL,1 ETB,-1809618897
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2280,LEAVE PAY-TO BE DELETED,1 ETB,-1624.57
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2281,SUSPENSE  CPO,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2282,INVALID RTGS TRANSFER,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2284,NATIONAL BANK OF ETHIOPIA SUSPENSE A/C,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2490,RECEIVABLE-SUSPENSE INTER BRANCH TRANSA,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,2999,SUSPENSE LOANS ACCRUALS,1 ETB,-339301276.9
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3001,C/A-PRIVATE SECTORS,1 ETB,5534625895
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3002,C/A-PUBLIC AGENCIES & ENTERPRISES,1 ETB,99809743.82
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3003,C/A-DOMESTIC BANKS,1 ETB,172519670.1
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3004,C/A-INSURANCE COMPANIES,1 ETB,43449843.39
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3005,C/A-MICROFINANCE INSTITUTIONS,1 ETB,26836042.53
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3006,C/A-CO-OPERATIVES & ASSOCIATIONS,1 ETB,83640780.11
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3007,C/A-FEDERAL GOVERNMENT,1 ETB,262104648.8
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3008,C/A-REGIONAL GOVERNMENT,1 ETB,63231125.16
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3101,AMANA-PRIVATE SECTORS,1 ETB,1219487436
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3102,AMANA-PUBLIC AGENCIES & ENTERPRISES,1 ETB,4762439.36
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3103,AMANA-DOMESTIC BANKS,1 ETB,22000
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3106,AMANA-CO-OPERATIVES & ASSOCIATIONS,1 ETB,13407940.92
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3201,RESIDENT FCY ACCOUNT,2 USD,35653726.97
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3251,FCY RETENTION ACCOUNT A,3 GBP,3509.27
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3251,FCY RETENTION ACCOUNT A,2 USD,197807663.3
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3251,FCY RETENTION ACCOUNT A,4 EUR,1838738.35
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3301,FCY RETENTION ACCOUNT B,4 EUR,298973.62
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3301,FCY RETENTION ACCOUNT B,2 USD,64209560.94
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3301,FCY RETENTION ACCOUNT B,3 GBP,25118.96
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3302,INTERNAL-FCY RETENTION ACCOUNT B,3 GBP,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3351,NON RESIDENT-FCY ACCOUNT,4 EUR,161722.09
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3351,NON RESIDENT-FCY ACCOUNT,2 USD,95400362.59
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3354,NR-NON TRANSFERABLE BIRR ACCOUNT,2 USD,6130509.58
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3355,NR-TRANSFERABLE BIRR ACCOUNT,1 ETB,500
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3401,DAISPORA NR-FCY C/A,2 USD,244526150.1
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3401,DAISPORA NR-FCY C/A,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3401,DAISPORA NR-FCY C/A,4 EUR,8884098.49
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3401,DAISPORA NR-FCY C/A,3 GBP,90236.58
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3404,DAISPORA NON-REPATRIABLE BIRR A/C,1 ETB,7282305.67
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3451,VOSTRO- REMITTANCE AGENT ACCOUNT,2 USD,22589405.92
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3451,VOSTRO- REMITTANCE AGENT ACCOUNT,1 ETB,-727948.6
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3551,C/A-ECX-MEMBER PAY IN ACCOUNT,1 ETB,37928209.54
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3552,C/A-ECX-MEMBER PAY OUT ACCOUNT,1 ETB,22381182.72
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3554,C/A-ECX-CLIENT PAY IN ACCOUNT,1 ETB,23464712.99
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3555,C/A-ECX-CLIENT PAY OUT ACCOUNT,1 ETB,3844955.31
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3651,S/A-PRIVATE SECTORS,1 ETB,11260432490
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3652,S/A-PUBLIC AGENCIES & ENTERPRISES,1 ETB,53252007.14
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3653,S/A-DOMESTIC BANKS,1 ETB,224795720.4
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3654,S/A-INSURANCE COMPANY,1 ETB,4074656.15
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3655,S/A-MICROFINANCE INSTITUTIONS,1 ETB,126055506.7
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3656,S/A-CO-OPERATIVES & ASSOCIATIONS,1 ETB,693340404.8
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3657,S/A-SPECIAL NON-INTEREST BEARING,1 ETB,177615448.4
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3658,S/A-PROVIDENT FUND-OIB STAFFS,1 ETB,111685462.7
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3659,S/A-M-WALLET/VIRTUAL ACCOUNT,1 ETB,695285.7
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3660,S/A-AGENT/MERCHANT,1 ETB,428962.07
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3661,S/A-BRANCH AGENT,1 ETB,22922.82
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3664,SPECIALS/A FOR INTER RESCUE COMMITE,1 ETB,18494177.2
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3751,WADIAHA-PRIVATE SECTORS,1 ETB,2803000294
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3752,WADIAHA-PUBLIC AGENCIES & ENTERPRISES,1 ETB,6739261.45
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3754,WADIAHA-INSURANCE COMPANY,1 ETB,50
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3755,WADIAHA-MICROFINANCE INSTITUTIONS,1 ETB,35260228.15
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3756,WADIAHA-CO-OPERATIVES & ASSOCIATIONS,1 ETB,2920562.13
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3757,LABBIAK ACCOUNT,1 ETB,372260.16
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3851,FTD-PRIVATE SECTORS,1 ETB,1003387914
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3852,FTD-PUBLIC AGENCY & ENTERPRISE,1 ETB,365722404.9
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3853,FTD-DOMESTIC BANKS,1 ETB,190000000
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3854,FTD-INSURANCE COMPANIES,1 ETB,545959038
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3855,FTD-MICROFINANCE INSTITUTIONS,1 ETB,114792888.5
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3856,FTD-CO-OPERATIVE & ASSOCIATIONS,1 ETB,68279011.29
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,3999,SUSPENSE INTERBRANCH & MISC,1 ETB,606334204.8
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4151,PROVISION FOR IMPAIRED LOAN-GENERAL,1 ETB,2862615.72
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4152,PROVISION FOR IMPAIRED LOAN-SPECIFIC,1 ETB,3536719.73
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4153,LOSS ALLOWANCE-DTS,1 ETB,21646759.91
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4154,LOSS ALLOWANCE-EXPORT,1 ETB,20250827.58
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4155,LOSS ALLOWANCE-IMPORT,1 ETB,4135750.99
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4156,LOSS ALLOWANCE-CONSTRUCTION,1 ETB,7313588.69
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4157,LOSS ALLOWANCE-TRANSPORT AND COMM,1 ETB,3154245.72
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4158,LOSS ALLOWANCE-HOTEL AND TOURISM,1 ETB,3531567.65
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4161,LOSS ALLOWANCE-MORTGAGE CUSTOMER,1 ETB,-55349.57
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4162,LOSS ALLOWANCE-MORTGAGE STAFF,1 ETB,444728.47
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4163,LOSS ALLOWANCE-PERSONAL CUSTOMER,1 ETB,69796.51
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4164,LOSS ALLOWANCE-PERSONAL STAFF,1 ETB,30084.62
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4165,LOSS ALLOWANCE-EMERGENCY STAFF LOAN,1 ETB,109647.81
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4166,IMPAIRMENT FOR LOAN & ADVANCE SPECIFIC,1 ETB,77436830.02
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4170,LOSS ALLOWANCE-AGRICULTURE,1 ETB,1484697.17
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4171,LOSS ALLOWANCE-INDUSTRY,1 ETB,2839057.8
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4172,LOSS ALLOWANCE-DTS,1 ETB,2137347.39
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4173,LOSS ALLOWANCE-EXPORT,1 ETB,17124882.86
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4175,LOSS ALLOWANCE-CONSTRUCTION,1 ETB,589899.76
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4176,LOSS ALLOWANCE-TRANSPORT AND COMM,1 ETB,-3898200.41
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4177,LOSS ALLOWANCE-HOTEL AND TOURISM,1 ETB,709527.45
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4179,LOSS ALLOWANCE-MINES POWER AND ENERGY,1 ETB,3898200.41
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4185,LOSS ALLOWANCE-AGRICULTURE,1 ETB,1099682.58
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4186,LOSS ALLOWANCE-INDUSTRY,1 ETB,509326.09
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4187,LOSS ALLOWANCE-DTS,1 ETB,2526566.48
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4188,LOSS ALLOWANCE-EXPORT,1 ETB,3779471.77
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4189,LOSS ALLOWANCE-IMPORT,1 ETB,630083.94
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4190,LOSS ALLOWANCE-CONSTRUCTION,1 ETB,673517.3
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4191,LOSS ALLOWANCE-TRANSPORT AND COMM,1 ETB,1293000.16
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4192,LOSS ALLOWANCE-HOTEL AND TOURISM,1 ETB,54032.98
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4201,PROV.FOR IMPAIRED FINANCING-GENERAL,1 ETB,-6676640.45
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4202,PROV.FOR IMPAIRED FINANCING-SPECIFIC,1 ETB,5538367.91
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4203,LOSS ALLOWANCE-EXPORT,1 ETB,24034500.87
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4204,LOSS ALLOWANCE-IMPORT,1 ETB,6909110.33
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4253,PROVISION FOR OTHER ASSETS,1 ETB,40367888.97
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4257,PROVISION FOR BONUS,1 ETB,74401949.58
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4300,ACCOUNT PAYABLE - INVENTORY,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4301,PAYABLE-TT'S -LOCAL,1 ETB,2745.08
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4302,PAYABLE-TT'S RE-TANSFERED-LOCAL,1 ETB,813213.35
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4303,PAYABLE-CPO'S ISSUED(BANKERS CHEQUE),1 ETB,237677803.5
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4304,PAYABLE-EXCHANGE PAYABLE TO NBE,1 ETB,8950269.5
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4305,PAYABLE-ACCRUED LEAVE PAYABLE,1 ETB,55623022.59
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4306,PAYABLE-ADJUST. & REFUND EXCESS CASH,1 ETB,129302.02
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4307,PAYABLE-AUDIT FEES,1 ETB,412500
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4309,PAYABLE-BLOCKED AMOUNTS-OTHERS,1 ETB,951330.24
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4314,PAYABLE-MISCELLANEOUS,1 ETB,17652931.27
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4315,PAYABLE-SPECIAL BONUS FUND,1 ETB,62218.17
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4316,PAYABLE-MT-103 OFFLINE BRANCH,1 ETB,7945275.88
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4318,PAYABLE-WESTREN UNION-USD,1 ETB,1624.24
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4320,PAYABLE-MONEY GRAM-USD,1 ETB,4220.21
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4332,PAYABLE-HAMISH JIDDIYA,1 ETB,8721992.73
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4333,PAYABLE-CHARITY FUND ACCOUNT,1 ETB,6991655.69
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4338,PAYABLE-CASH COLL.ISSUE-ENDORSE-D.ORDER,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4342,PAYABLE-CENTRALIZED INWARD TRF. (SWIFT),2 USD,0
