Dr/Cr,group of chart acct,,,Ledger,Ledger Name,Currency,balance only 
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,616,NOT PAID INTEREST-CONSTRUCTION T/L,1 ETB,-39514047.29
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,617,NOT PAID INTEREST-TRANS & COM. T/L,1 ETB,-2117327.16
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,618,NOT PAID INTEREST-HOTEL & TOURISM T/L,1 ETB,-8576120.97
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,621,NOT PAID INTEREST-MORTGAGE-STAFF T/L,1 ETB,-566065.19
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,623,NOT PAID INTEREST-MORTGAGE-CUSTOMER T/L,1 ETB,-898940.53
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,624,NOT PAID INTEREST-PERSONAL STAFF T/L,1 ETB,-84381.65
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,626,NOT PAID INTEREST-PERSONAL CUSTOMER T/L,1 ETB,-213343.54
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,651,EXPORT-TERM LOAN,1 ETB,-648239526.7
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,654,EXPORT-OVERDRAFT LOAN,1 ETB,10016893.39
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,654,EXPORT-OVERDRAFT LOAN,1 ETB,-930888416.7
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,703,EXPORT-PRESHIPMENT,1 ETB,132546.08
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,703,EXPORT-PRESHIPMENT,1 ETB,-2021691200
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,751,IMPORT-TERM LOAN-T/L,1 ETB,-525298140.7
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,754,IMPORT-OVERDRAFT LOAN,1 ETB,21239638.8
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,754,IMPORT-OVERDRAFT LOAN,1 ETB,-413502860.1
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,756,IMPORT-ADVANCE AGAINST IMPORT BILLS,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,801,CONSTRUCTION-T/L,1 ETB,-1516108574
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,804,CONSTRUCTION-OVERDRAFT LOAN,1 ETB,9881.57
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,804,CONSTRUCTION-OVERDRAFT LOAN,1 ETB,-154310048.8
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,851,TRANSPORT & COMMUNICATION-T/L,1 ETB,-170515303.4
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,854,TRANSPORT & COMMUNICATION-OVERDRAFT LOAN,1 ETB,-43550248.93
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,901,HOTEL & TOURISM-T/L,1 ETB,-722959838
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,904,HOTEL & TOURISM-OVERDRAFT LOAN,1 ETB,-100237029.9
